GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_COMP237738_C0_SEQ1.0-1146|SPU_006308	611	850	850	687	1099	946	834	304	858
HE_CONTIG4433|SPU_016842	80	49	49	146	278	19	53	85	71
HE_FRAG5580.0-5574|SPU_028726	493	380	380	718	795	360	295	495	656
HE_CONTIG605|SPU_026766	221	531	531	28	45	16	325	199	87
HE_CONTIG3145|SPU_024592	1005	847	847	57	80	18	272	43	76
HE_COMP237427_C7_SEQ1.198-429|UNKNOWN	3	1	1	5	11	0	0	1	0
HE_FRAG8110.159-339|SPU_012492	5	10	10	4	11	5	9	8	2
HE_CONTIG407|UNKNOWN	302	258	258	623	1236	398	483	236	338
HE_COMP241849_C0_SEQ2.74-116|UNKNOWN	2	3	3	3	1	1	0	1	0
HE_COMP197588_C0_SEQ1.3-162|SPU_011645	1	1	1	2	2	0	1	2	1
HE_FRAG22354.708-972|SPU_025759	2	0	0	0	2	1	1	1	0
HE_FRAG21789.450-2646|SPU_025763	220	450	450	51	21	6	423	415	327
HE_COMP241292_C1_SEQ1.0-298|SPU_015804	92	170	170	101	199	56	237	76	155
HE_FRAG18075.0-1791|SPU_020578	102	133	133	102	182	134	127	89	182
HE_FRAG820.117-255|SPU_019284	17	4	4	0	0	1	5	19	9
HE_CONTIG4434|SPU_024918	6	1	1	0	0	0	5	2	1
HE_CONTIG3669|SPU_015376	163	82	82	375	318	269	178	142	240
HE_COMP228979_C1_SEQ6.81-237|SPU_020272	0	1	1	1	0	0	1	0	0
HE_COMP234891_C5_SEQ1.200-342|SPU_017723	146	77	77	153	142	93	276	36	47
HE_FRAG6539.0-3570|SPU_021559	1710	1754	1754	1628	3190	1109	1310	1192	1688
HE_COMP215986_C0_SEQ1.0-168|SPU_013237	0	0	0	0	0	0	0	1	0
HE_CONTIG1319|SPU_026337	483	465	465	740	900	768	887	461	867
HE_COMP228506_C0_SEQ1.76-119|UNKNOWN	0	0	0	0	1	0	1	0	0
HE_COMP209988_C0_SEQ1.78-540|SPU_025331	6	1	1	33	68	26	27	6	18
HE_CONTIG2941|SPU_023386	464	319	319	780	3614	4073	475	220	827
