GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	72	4	69	3	4	1	10	4
HE_CONTIG266|SPU_016027	142	33	59	0	51	1	3	11
HE_CONTIG1127|SPU_006606	31	0	30	0	0	0	11	0
HE_FRAG6948.3572-4034|SPU_014707	55	6	76	0	2	1	20	0
HE_COMP241374_C3_SEQ1.53-713|UNKNOWN	56	0	69	3	14	0	2	1
HE_COMP235512_C0_SEQ12.596-717|SPU_018429	2711	0	237	0	3	0	11	0
HE_COMP229903_C2_SEQ1.310-2346|SPU_004401	113	13	86	3	8	3	12	2
HE_FRAG1744.107-617|UNKNOWN	52	0	43	0	0	0	0	0
HE_COMP241253_C12_SEQ1.6-255|SPU_015635	576	146	610	44	31	0	83	371
HE_CONTIG1103|SPU_008842	350	35	233	4	2	0	66	24
HE_FRAG18997.390-481|UNKNOWN	0	0	0	0	12	0	0	0
HE_CONTIG1339|SPU_010847	209	36	97	0	18	0	15	1
HE_FRAG19612.126-369|SPU_003319	0	0	0	0	0	0	0	0
HE_FRAG1719.0-2333|SPU_005241	528	63	393	6	35	10	101	38
HE_COMP244580_C7_SEQ1.135-178|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG3713|SPU_026487	361	0	596	35	26	0	32	1
HE_FRAG9846.0-2199|SPU_005702	55	2	19010	1856	1683	74	678	220
HE_FRAG18964.6-1428|SPU_008908	2197	155	1373	26	25	0	261	59
HE_FRAG5438.21-1932|SPU_026553	87	16	89	3	1	1	20	0
HE_COMP229526_C0_SEQ1.0-325|SPU_028247	5216	843	4758	4	16	0	357	1319
HE_COMP190168_C1_SEQ1.159-237|UNKNOWN	0	0	0	0	0	0	0	27
HE_COMP234619_C1_SEQ1.0-282|SPU_022107	0	0	0	0	0	0	4	0
HE_COMP227837_C2_SEQ1.576-684|UNKNOWN	0	0	0	0	0	0	2	0
HE_FRAG8204.0-1005|SPU_024104	165	0	101	0	0	0	22	2
HE_COMP228624_C0_SEQ2.185-692|SPU_018851	224	3	117	22	13	2	3	1
HE_COMP236501_C1_SEQ4.0-1115|SPU_018125	110	0	19	0	1	0	16	0
HE_CONTIG2188|SPU_000392	310	14	689	2	68	18	35	8
HE_COMP235238_C0_SEQ1.2-1028|SPU_000244	258	7	76	0	13	0	8	6
HE_CONTIG4662|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG988|SPU_019929	2634	153	1491	39	0	0	374	1
HE_CONTIG3483|SPU_008818	3	0	9	2	0	0	2	0
HE_FRAG12624.0-1485|SPU_009716	83	27	33	3	0	0	13	3
HE_COMP236277_C10_SEQ1.207-387|SPU_004345	23	0	7	0	0	0	1	0
HE_CONTIG4337|SPU_016099	42	0	5	0	2	0	14	23
HE_CONTIG4710|SPU_016122	0	0	0	0	0	0	2	0
HE_FRAG1088.0-2070|SPU_008678	227	16	211	2	25	0	13	26
HE_FRAG6728.1181-1766|SPU_004123	31	3	0	0	0	0	15	0
HE_FRAG19244.579-693|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP243765_C0_SEQ3.211-250|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG5250|SPU_000009	281	20	149	0	0	0	25	0
HE_CONTIG441|SPU_013917	0	0	0	0	0	0	41	0
