GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_CONTIG3487|SPU_028935	81	0	190	56	1	0	43	45
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	62	2	70	2	0	0	4	0
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	97	15	275	8	1	0	17	2
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	36	0	14	0	1	0	2	0
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5946.152-1406|SPU_009427	68	17	42	1	5	0	24	0
HE_CONTIG3139|SPU_001395	652	168	687	163	7	0	254	162
HE_CONTIG1272|UNKNOWN	0	0	0	0	0	0	3	0
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	139	72	202	29	31	0	58	14
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	100	0	160	0	0	0	3	10
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	0	6	0	2	0	0	2	15
HE_FRAG1569.2-2256|SPU_016101	652	169	732	55	28	17	77	33
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	0	0	0	0	0	0	5	0
HE_FRAG7809.0-1056|SPU_013570	41	0	24	0	18	0	34	0
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	33	6	46	0	0	0	2	0
HE_FRAG14308.68-1059|SPU_026460	84	50	198	18	25	8	23	29
HE_CONTIG1524|SPU_012700	224	12	257	12	13	0	84	94
HE_CONTIG3424|SPU_006054	725	121	470	45	11	8	151	47
HE_CONTIG786|SPU_028601	264	6	118	5	12	0	44	11
HE_FRAG269.57-873|SPU_027747	360	1	256	4	2	0	88	7
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	0	0	0	0	0	0	4	0
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	90	0	58	0	0	0	5	1
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	34	15	19	10	1	1	11	13
HE_FRAG23083.1908-2588|SPU_011423	0	0	0	0	0	0	28	0
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	14	7	1	0	0	0	4	24
HE_FRAG945.327-513|SPU_006004	0	0	0	0	0	0	95	0
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	57	3	76	5	25	0	29	7
HE_CONTIG266|SPU_016027	207	37	170	0	64	0	43	0
HE_CONTIG1127|SPU_006606	28	0	12	0	1	0	9	0
HE_FRAG6948.3572-4034|SPU_014707	38	0	31	0	11	0	5	0
HE_COMP241374_C3_SEQ1.53-713|UNKNOWN	146	6	275	22	45	0	22	12
HE_COMP235512_C0_SEQ12.596-717|SPU_018429	708	0	255	0	1	0	8	0
HE_COMP229903_C2_SEQ1.310-2346|SPU_004401	121	4	97	12	3	2	24	1
HE_FRAG1744.107-617|UNKNOWN	119	11	71	6	2	0	0	0
HE_COMP241253_C12_SEQ1.6-255|SPU_015635	480	369	669	53	27	0	172	433
HE_CONTIG1103|SPU_008842	919	0	499	21	5	0	123	49
HE_FRAG18997.390-481|UNKNOWN	0	0	0	0	9	0	0	0
HE_CONTIG1339|SPU_010847	161	21	164	0	7	0	47	1
HE_FRAG19612.126-369|SPU_003319	0	0	0	0	0	0	3	0
HE_FRAG1719.0-2333|SPU_005241	529	58	654	12	45	3	89	28
HE_COMP244580_C7_SEQ1.135-178|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG3713|SPU_026487	479	0	515	0	30	0	13	0
HE_FRAG9846.0-2199|SPU_005702	289	36	1788	173	185	4	77	37
HE_FRAG18964.6-1428|SPU_008908	441	71	292	8	13	2	87	12
HE_FRAG5438.21-1932|SPU_026553	155	6	64	8	2	4	9	1
HE_COMP229526_C0_SEQ1.0-325|SPU_028247	9983	11	10880	1135	44	6	3759	2755
HE_COMP190168_C1_SEQ1.159-237|UNKNOWN	0	0	0	0	0	0	0	35
HE_COMP234619_C1_SEQ1.0-282|SPU_022107	0	0	0	0	0	0	4	0
HE_COMP227837_C2_SEQ1.576-684|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8204.0-1005|SPU_024104	234	3	166	0	0	0	36	6
HE_COMP228624_C0_SEQ2.185-692|SPU_018851	74	27	105	1	1	3	12	3
HE_COMP236501_C1_SEQ4.0-1115|SPU_018125	267	52	425	0	1	0	42	45
HE_CONTIG2188|SPU_000392	408	108	564	0	98	0	94	38
HE_COMP235238_C0_SEQ1.2-1028|SPU_000244	194	9	89	0	0	0	18	0
HE_CONTIG4662|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG988|SPU_019929	2464	3	2016	6	323	2	17	0
HE_CONTIG3483|SPU_008818	0	0	13	0	0	0	2	0
HE_FRAG12624.0-1485|SPU_009716	35	7	24	0	2	0	56	0
HE_COMP236277_C10_SEQ1.207-387|SPU_004345	382	0	3361	0	0	0	16	0
HE_CONTIG4337|SPU_016099	138	42	99	1	2	0	59	69
HE_CONTIG4710|SPU_016122	0	0	0	0	0	0	3	0
