GENE	he	he+N	ht	ht+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
HE_COMP242716_C0_SEQ1.75-225|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG4868|UNKNOWN	63	0	0	0	0	0	0	0
HE_CONTIG3381|SPU_007198	75	3	6	0	0	0	4	0
HE_FRAG20381.8-1233|SPU_019283	132	12	3	0	12	0	8	5
HE_FRAG17929.110-924|SPU_017355	280	59	181	14	10	2	1	0
HE_COMP233580_C8_SEQ2.0-1128|SPU_009726	51	0	121	5	2	0	0	0
HE_FRAG1305.642-1413|SPU_014985	4	0	46	9	3	0	13	38
HE_COMP243549_C0_SEQ1.36-660|SPU_012304	0	0	0	0	0	0	8	0
HE_FRAG5707.6-2820|SPU_010379	428	60	315	14	25	3	42	9
HE_CONTIG4015|SPU_023240	0	0	2	0	0	0	8	2
HE_FRAG8076.981-1587|SPU_009961	17	2	4	4	4	1	20	0
HE_CONTIG1654|SPU_024684	191	0	575	32	21	0	22	0
HE_CONTIG3961|SPU_020348	0	0	0	0	0	0	3	0
HE_FRAG2339.2-1127|SPU_010756	417	1	49	0	65	0	38	0
HE_CONTIG2602|SPU_015869	611	2	427	37	43	0	180	63
HE_FRAG20681.23-2120|SPU_016467	215	69	140	17	11	13	104	130
HE_FRAG9957.147-525|SPU_000222	3	0	0	0	0	0	0	4
HE_FRAG2585.0-1314|SPU_020440	351	85	154	29	98	10	158	43
HE_FRAG8935.10-785|SPU_001778	1735	238	8468	282	1931	158	2866	460
HE_COMP238684_C4_SEQ1.9-942|SPU_023215	119	10	144	24	5	0	27	39
HE_COMP208451_C1_SEQ1.156-219|UNKNOWN	0	0	0	0	0	0	2	0
HE_CONTIG3894|SPU_009739	2042	133	1287	13	476	0	290	39
HE_CONTIG437|SPU_000941	0	0	0	0	0	0	24	0
HE_COMP235329_C0_SEQ1.99-1020|SPU_022363	82	0	63	0	0	0	6	0
HE_COMP240229_C6_SEQ1.53-90|UNKNOWN	0	0	0	0	0	0	1	0
HE_FRAG16757.411-1167|UNKNOWN	1	2	4	0	0	0	33	2
HE_COMP227746_C2_SEQ1.11-602|SPU_013485	0	0	0	0	0	0	4	0
HE_COMP239701_C2_SEQ5.0-432|SPU_017533	0	0	0	0	0	0	10	0
HE_CONTIG890|UNKNOWN	0	0	0	0	0	0	5	0
HE_CONTIG24|UNKNOWN	0	0	0	0	0	0	5	0
HE_COMP228557_C0_SEQ1.522-630|SPU_008956	0	0	0	0	0	0	1	0
HE_CONTIG1307|SPU_025385	0	0	0	0	0	0	4	0
HE_CONTIG4449|SPU_016473	0	0	0	0	0	0	2	0
HE_CONTIG980|UNKNOWN	0	1	0	2	0	1	0	304
HE_COMP242382_C3_SEQ1.1090-2418|SPU_028341	16	3	169	23	5	2	8	8
HE_CONTIG4230|SPU_010424	13631	39	17477	18	3096	0	402	519
HE_CONTIG4101|SPU_002210	1943	1	2429	205	255	0	157	2
HE_CONTIG4549|UNKNOWN	4	1	6	0	0	0	3	0
HE_COMP246436_C3_SEQ1.24-843|SPU_024168	1908	584	328	16	269	0	11	0
HE_CONTIG2231|UNKNOWN	217	5	27	0	0	0	1	0
HE_CONTIG1194|UNKNOWN	18	5	19	19	0	0	0	1
HE_CONTIG3487|SPU_028935	182	0	0	12	7	0	56	1
HE_COMP234335_C3_SEQ1.38-1424|UNKNOWN	12	0	0	0	0	0	42	0
HE_COMP245279_C3_SEQ1.1-1004|SPU_025672	119	0	365	0	1	0	31	0
HE_COMP230317_C1_SEQ2.1548-1839|SPU_019963	21	3	19	0	2	0	10	3
HE_COMP242731_C5_SEQ1.302-336|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG5946.152-1406|SPU_009427	177	55	285	21	4	2	56	7
HE_CONTIG3139|SPU_001395	515	85	1158	130	16	6	283	129
HE_CONTIG1272|UNKNOWN	0	0	0	0	0	0	2	0
HE_COMP240654_C1_SEQ1.747-1185|SPU_002194	470	258	689	137	144	0	359	233
HE_COMP245789_C1_SEQ7.20-636|SPU_009517	236	0	143	0	0	0	4	0
HE_COMP232716_C8_SEQ5.14-65|UNKNOWN	9	157	4	28	0	2	5	258
HE_FRAG1569.2-2256|SPU_016101	1549	469	3484	214	182	49	248	141
HE_COMP222251_C0_SEQ1.0-207|SPU_027356	0	0	0	0	0	0	2	0
HE_FRAG7809.0-1056|SPU_013570	0	0	0	0	0	0	18	0
HE_COMP225486_C4_SEQ1.0-1023|SPU_024267	0	0	0	0	0	0	5	0
HE_FRAG14308.68-1059|SPU_026460	338	31	30	0	35	34	59	45
HE_CONTIG1524|SPU_012700	833	27	521	0	98	0	56	21
HE_CONTIG3424|SPU_006054	91	6	71	3	11	2	73	9
HE_CONTIG786|SPU_028601	252	96	418	31	28	0	73	16
HE_FRAG269.57-873|SPU_027747	0	0	0	0	0	0	6	0
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	0	0	0	0	0	0	1	0
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	25	0	45	15	0	0	8	7
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	30	13	24	6	1	2	14	19
HE_FRAG23083.1908-2588|SPU_011423	143	0	20	0	26	0	32	0
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	0	0	10	0	0	0	0	6
HE_FRAG945.327-513|SPU_006004	0	0	0	0	0	0	53	0
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	72	2	187	21	7	0	21	2
HE_CONTIG266|SPU_016027	111	67	14	0	41	4	0	1
HE_CONTIG1127|SPU_006606	112	0	84	0	0	0	42	0
HE_FRAG6948.3572-4034|SPU_014707	107	12	177	0	26	1	22	0
HE_COMP241374_C3_SEQ1.53-713|UNKNOWN	36	0	64	2	6	0	2	0
HE_COMP235512_C0_SEQ12.596-717|SPU_018429	2476	2	1288	1	3	0	48	0
HE_COMP229903_C2_SEQ1.310-2346|SPU_004401	176	21	88	27	7	5	8	16
HE_FRAG1744.107-617|UNKNOWN	2082	0	1572	0	1	0	16	0
HE_COMP241253_C12_SEQ1.6-255|SPU_015635	2674	14	829	34	76	0	114	542
HE_CONTIG1103|SPU_008842	696	410	16	7	3	0	193	13
HE_FRAG18997.390-481|UNKNOWN	0	0	0	0	0	0	4	0
HE_CONTIG1339|SPU_010847	389	36	109	0	8	0	15	6
HE_FRAG19612.126-369|SPU_003319	0	0	0	0	0	0	1	0
HE_FRAG1719.0-2333|SPU_005241	2019	303	1205	12	87	31	252	95
HE_COMP244580_C7_SEQ1.135-178|UNKNOWN	0	0	0	0	0	0	1	0
HE_CONTIG3713|SPU_026487	805	134	1077	3	78	0	9	0
HE_FRAG9846.0-2199|SPU_005702	61	0	6414	735	588	0	354	81
HE_FRAG18964.6-1428|SPU_008908	1983	180	503	0	16	0	344	4
HE_FRAG5438.21-1932|SPU_026553	118	11	82	15	0	1	7	3
HE_COMP229526_C0_SEQ1.0-325|SPU_028247	765	1	303	11	2	1	72	362
HE_COMP190168_C1_SEQ1.159-237|UNKNOWN	0	0	0	0	0	0	0	12
HE_COMP234619_C1_SEQ1.0-282|SPU_022107	0	0	0	0	0	0	14	0
HE_COMP227837_C2_SEQ1.576-684|UNKNOWN	0	0	0	0	0	0	0	0
HE_FRAG8204.0-1005|SPU_024104	315	0	60	0	0	0	15	0
HE_COMP228624_C0_SEQ2.185-692|SPU_018851	146	36	118	0	8	3	25	6
HE_COMP236501_C1_SEQ4.0-1115|SPU_018125	91	0	61	0	2	0	21	1
HE_CONTIG2188|SPU_000392	262	49	952	4	110	1	60	29
HE_COMP235238_C0_SEQ1.2-1028|SPU_000244	611	13	198	11	36	0	15	0
HE_CONTIG4662|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG988|SPU_019929	2313	230	501	2	74	0	131	0
HE_CONTIG3483|SPU_008818	0	0	0	0	0	0	4	0
HE_FRAG12624.0-1485|SPU_009716	58	18	58	3	0	0	43	4
HE_COMP236277_C10_SEQ1.207-387|SPU_004345	62	0	9	0	0	0	2	0
HE_CONTIG4337|SPU_016099	55	2	0	0	0	0	24	37
HE_CONTIG4710|SPU_016122	0	0	0	0	0	0	14	0
HE_FRAG1088.0-2070|SPU_008678	118	7	182	1	13	0	14	26
HE_FRAG6728.1181-1766|SPU_004123	1217	0	1	0	3	0	402	0
HE_FRAG19244.579-693|UNKNOWN	0	0	0	0	0	0	24	0
HE_COMP243765_C0_SEQ3.211-250|UNKNOWN	0	0	0	0	0	0	0	0
HE_CONTIG5250|SPU_000009	1026	0	239	9	0	0	144	7
