GENE	he%sample1	he%sample2	he%sample3	ht%sample1	ht%sample2	ht%sample3	hy%sample1	hy%sample2	hy%sample3
HE_FRAG14308.68-1059|SPU_026460	2854	1591	2906	3594	3959	1528	285	546	435
HE_CONTIG1524|SPU_012700	3806	3822	4411	3145	4029	2563	1079	929	696
HE_CONTIG3424|SPU_006054	3062	2183	2902	3183	4075	4343	957	1728	1578
HE_CONTIG786|SPU_028601	1387	748	948	1588	2582	1693	107	303	460
HE_FRAG269.57-873|SPU_027747	396	174	145	1795	1190	1917	999	467	718
HE_COMP246845_C1_SEQ1.3-123|UNKNOWN	66	59	23	13	8	18	6	5	4
HE_COMP237553_C1_SEQ1.138-1032|SPU_006816	379	525	623	731	505	798	155	241	154
HE_COMP240558_C1_SEQ11.58-91|UNKNOWN	362	322	248	254	226	232	87	80	104
HE_FRAG23083.1908-2588|SPU_011423	374	349	400	676	504	255	14	34	28
HE_COMP243628_C1_SEQ1.353-422|UNKNOWN	218	63	175	21	58	129	84	74	50
HE_FRAG945.327-513|SPU_006004	7	2	1	1056	1048	1245	113	139	95
HE_COMP245547_C4_SEQ1.1788-4260|SPU_014404	659	376	705	1177	1680	1932	121	209	202
HE_CONTIG266|SPU_016027	1121	837	1253	1194	1892	1414	431	286	521
HE_CONTIG1127|SPU_006606	472	464	539	471	519	481	83	76	50
